,"y1{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",C_x1,dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",x1{power: 1.0} * dx1/dx0{power: 1.0}_x1,"x1{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",y1{power: 1.0} * x1{power: 1.0}_x1,dy1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * d^2x1/dx0^2{power: 1.0}_x1","d^2x1/dx0^2{power: 1.0} * sin{power: 1.0, dim: 0.0}_x1",C_y1,dy1/dx0{power: 1.0}_y1,x1{power: 1.0}_y1,dx1/dx0{power: 1.0}_y1,"d^2y1/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_y1",d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",y1{power: 1.0}_y1,y1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,y1{power: 1.0} * dy1/dx0{power: 1.0}_y1
0,-6.789913936375446e-05,0.06570951095401809,-1.0,-0.09805425229387012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10232597358312993,-1.0,0.11568986244773076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.011502198813374907,0.0,0.0,-1.0,-0.013041149909892882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10232597358312993,-1.0,0.11568986244773076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.011445141405356714,0.0,0.0,-1.0,-0.01322646102771221,2.2116923440866647e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0384079526074757e-05,0.0,0.0,0.059924903945525736,0.004769853732096293,-1.0,0.0,0.0,0.0,0.0
3,0.0,0.0039835854725050945,-1.0,-0.005922483216518926,0.0,0.0,0.0,1.0689181431847692,-2.937226659043764e-06,0.0,0.0,0.0,0.0,-0.10150264483926212,-1.0,0.11651830143935209,0.0,0.0,0.0,-1.5288156000105642e-05,0.0,0.0,0.0
4,-2.265243822988395e-05,-0.003484546684474522,0.9105692555583095,0.005260761531126074,0.0,0.0,1.567030272533284e-05,-1.0,0.0,0.0,0.0,0.0,0.0,-0.10232597358312993,-1.0,0.11568986244773076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.011502198813374907,0.0,0.0,-1.0,-0.013041149909892882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005218382645999197,0.0,0.0,0.0,0.0,0.0,-2.975756951293676e-06,-0.007903965565010267,-1.0,0.0
6,0.0,0.00013228166933110718,0.0,0.017965028956555877,-1.0,0.0,0.0,0.0,0.0,-0.02061764336045987,0.0,0.0,0.0,-1.0384079526074757e-05,0.0,0.0,0.059924903945525736,0.004769853732096293,-1.0,0.0,0.0,0.0,0.0
7,-6.790507280759416e-05,0.06570951095401809,-1.0,-0.09805368326018032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017616700540226257,0.6036699951594356,0.0019649586445751608,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
8,0.0,0.011445141405356714,0.0,0.0,-1.0,-0.01322646102771221,2.2116923440866647e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.06405734195738719,0.0,0.07243318736194404,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
9,0.0,-1.3499551506987747e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.03415427903237009,0.006000398661289749,0.0,0.008421792910740335,0.0,0.0,0.0,0.0,-1.0,-4.708468992725707e-06,-0.012722445530075878,0.0,0.0
10,-2.2652438229884302e-05,-0.0034845466844750793,0.9105692555583156,0.005260761531126741,0.0,0.0,1.567030272533419e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.005218382645999197,0.0,0.0,0.0,0.0,0.0,-2.975756951293676e-06,-0.007903965565010267,-1.0,0.0
11,0.0,0.00021687123202254963,0.0,0.0,0.0,-0.00024556182023080346,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.00020994084287429625,0.0,0.0001965511609141837,0.07180110999595271,0.0,0.0,0.0,0.0,-1.0,0.0
