,dx1/dx0{power: 1.0}_x1,C_x1,dx1/dx0{power: 1.0} * y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0} * x1{power: 1.0}_x1",dy1/dx0{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0}_x1,"x1{power: 1.0} * cos{power: 1.0, dim: 0.0}_x1",dy1/dx0{power: 1.0} * dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,y1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,"y1{power: 1.0} * cos{power: 1.0, dim: 0.0}_x1","dx1/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0}_y1,C_y1,dy1/dx0{power: 1.0} * y1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * cos{power: 1.0, dim: 0.0}_y1","t{power: 1.0, dim: 0.0} * dx1/dx0{power: 1.0}_y1",y1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * sin{power: 1.0, dim: 0.0}_y1",dx1/dx0{power: 1.0}_y1,"x1{power: 1.0} * t{power: 1.0, dim: 0.0}_y1"
0,0.6792802176743883,2.7223041963191877e-05,-1.0,-7.460478104015332e-08,-2.4795881166532623e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862920518383419e-07,0.6706465556416052,-5.985318030332438e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-0.00011827631962813115,0.0,0.0,0.0,0.17086245697315064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290257812749449e-06,0.0,-1.0,1.8396465890221387e-06,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0005808293022449204,0.0,0.0,0.0,0.0,-1.0,-0.0101884676197669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0005595993273033764,0.0,0.0,0.0,0.0019731250584683656,0.0,0.0,0.0,0.0
3,-1.0,-0.00011827631962813115,0.0,0.0,0.0,0.17086245697315064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862920518383419e-07,0.6706465556416052,-5.985318030332438e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,6.385326141428555e-07,0.0,0.0,0.0,-0.0006875319511632786,0.0,0.0,-6.700240612125376e-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.6715699381802726,0.0005133949636563244,-1.0,0.0,0.0,0.0,-0.0007627361820358818,0.0,0.0,0.0
5,-1.0,-0.008087937722949882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011369211652067276,0.0,0.0,0.0,0.0,-1.0,-0.0006607809805904567,0.0,0.0,0.0,0.0,0.0,2.6322980040835214e-06,0.0,0.0
6,0.0,8.535605349789635e-05,0.0,-3.2511025197719516e-07,0.0,0.0,-1.0,-0.0008769751172919344,0.0,0.0,0.0,1.441853027991723,0.0,0.0,4.862920518383419e-07,0.6706465556416052,-5.985318030332438e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,-1.1504678482964133e-06,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.00024892781475699253,0.0,0.0,-1.0,-0.0005551816287977084,0.0,0.0,0.0,0.0,0.0,0.0,0.23536362634016328,0.0
8,0.0,0.0005808293022449204,0.0,0.0,0.0,0.0,-1.0,-0.0101884676197669,0.0,0.0,0.0,0.0,0.0,0.0,4.862920518383418e-07,0.6706465556416052,-5.985318030332438e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.001297561009498612,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.0019000633216025025,0.0,0.0,0.0,0.0,-1.0,0.000802644687988009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027416337010346595
10,0.0,-0.005714760745652839,0.0,0.0,0.0,0.0,-1.0,-0.011117410119673274,0.0,0.0,0.009248076082392427,0.0,0.0,0.0,0.0,0.0,0.0005306974200614679,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001829477882582746
11,0.0,0.0002703394544111503,0.0,-1.6674764134086132e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-0.0005551816287977084,0.0,0.0,0.0,0.0,0.0,0.0,0.23536362634016328,0.0
