,C_x1,dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,x1{power: 1.0} * dx1/dx0{power: 1.0}_x1,x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,x1{power: 1.0} * y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * dx1/dx0{power: 1.0}_x1",d^2x1/dx0^2{power: 1.0}_x1,y1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,dy1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * y1{power: 1.0}_x1",y1{power: 1.0}_y1,C_y1,dy1/dx0{power: 1.0}_y1,x1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2y1/dx0^2{power: 1.0}_y1","t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0} * d^2x1/dx0^2{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * x1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * y1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * x1{power: 1.0}_y1"
0,0.01495905147221714,-1.0,-0.0505018022506592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042721208558536665,0.00011632650282547011,-1.0,0.020006109763388253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0015475357785811486,-1.0,0.0,1.7593218759695965,-0.002584871412555632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.756510076672239e-05,0.0,0.0,-1.0,0.007857177014949313,-3.146904224424103e-07,0.0,0.0,0.0,0.0
2,0.01495905147221714,-1.0,-0.0505018022506592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.209604029819822e-07,0.0,0.0,-0.0015046005525340255,0.0,0.0,-1.0,0.0,0.0,0.0
3,7.597990365094582e-05,0.2669693961157313,0.0,0.0,-0.0003089871138022787,6.420678435024475e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042721208558536665,0.00011632650282547011,-1.0,0.020006109763388253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0060076685141618475,-1.0,0.0,0.0,0.0,-4.3932727731942624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009239648222102941,0.00025483061354699543,0.0,0.0,0.42319828470840076,0.0,0.0,0.0,-1.0,0.0,0.0
5,-4.92485308133501e-05,0.2657839194075736,0.0,0.0,0.0,2.2865750854818222e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97928523016707e-06,0.0,0.0,0.3090641889260322,0.0,-7.025383539781072e-08,0.0,0.0,-1.0,0.0
6,0.003712923477295859,-1.0,0.0,0.0,0.0,0.0,0.0,-0.020196966047113785,0.007806389292442057,0.0,0.0,0.0,0.0,-0.04253779230327319,0.00011632650282547011,-1.0,0.019915064239708406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0015475357785811486,-1.0,0.0,1.7593218759695965,-0.002584871412555632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003790067603878942,0.001081089093041852,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0011774547882812093,0.0,0.0,0.0,-0.0021194666155274345,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.04272120855853673,0.00011632650282551466,-1.0,0.020006109763388204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-2.7512569152238555e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.005553755134819714,0.0,-0.003790067603878942,0.001081089093041852,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-2.547961363255686e-05,0.2638595739637147,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.6702043331902821e-07,0.0,0.00012734961724212738,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.7650395474209286e-06
11,0.0011926944566848358,0.0,0.0,0.0,-0.0017967326216306132,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005312842736759134,-1.0,0.008476651596580757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
