,x1{power: 1.0}_x1,C_x1,d^2x1/dx0^2{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * x1{power: 1.0}_x1","t{power: 1.0, dim: 0.0}_x1",dx1/dx0{power: 1.0}_x1,"dx1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,"y1{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",y1{power: 1.0}_x1,y1{power: 1.0}_y1,C_y1,x1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2y1/dx0^2{power: 1.0}_y1",x1{power: 1.0} * dy1/dx0{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",x1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1
0,-0.005931941395300138,0.0025220913701049954,-1.0,8.895583518681405e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.003981964057942193,0.0034069273574215742,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0006785146954809095,0.0,0.0,-5.73942417008572e-06,-1.0,0.007715427935521354,0.0,0.0,0.0,-0.0008432654162744776,0.0007169060520876793,-1.0,0.0032232601138641034,0.0,0.0,0.0,0.0,0.0
2,-0.0024508756359443414,0.0010211062131576054,0.0,0.0,2.1451688972483695e-06,0.0,0.0,-1.0,0.0,0.0,0.0014385203651809371,-0.0012546391518528965,0.0,0.0,-1.0,0.49269413089096853,0.0,0.0,0.0
3,-0.010560690064402975,0.004866291309136988,0.0,0.0,0.00019346338825677845,-1.0,0.00847603437048863,0.0,-0.00022322829425493673,0.0,0.001438520365180937,-0.0012546391518528965,0.0,0.0,-1.0,0.49269413089096853,0.0,0.0,0.0
4,-0.0024507080659681283,0.0010211062131575985,0.0,0.0,2.144474167041239e-06,0.0,0.0,-1.0,0.0,0.0,-0.0008432654162744776,0.0007169060520876793,-1.0,0.003223260113864104,0.0,0.0,0.0,0.0,0.0
5,-0.00497857013900944,0.002077557072532636,-1.0,0.0,4.4082629004917055e-06,0.0,0.0,0.0,0.0,0.0,-0.0008432654162744776,0.0007169060520876793,-1.0,0.0032232601138641034,0.0,0.0,0.0,0.0,0.0
6,-0.010560690064476252,0.004866291309157422,0.0,0.0,0.0001934633882534379,-1.0,0.008476034370467973,0.0,-0.00022322829425078738,0.0,0.0,0.0004186663541735223,0.0,0.0,-1.0,0.5011647704954819,1.1073424888294195e-06,-0.0010846382047359048,0.0
7,-0.0024507080659681457,0.0010211062131576054,0.0,0.0,2.144474167041257e-06,0.0,0.0,-1.0,0.0,0.0,-0.0019217393851796247,0.0016362901572943127,0.0,0.003961652188466979,0.0,0.0,0.0,0.0,-1.0
8,0.0,0.0016480414050581138,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018949598469037157,-0.003981964057942193,0.0034069273574215742,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.0018842835668952981,0.0009567002528818314,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008432654162744776,0.0007169060520876793,-1.0,0.0032232601138641034,0.0,0.0,0.0,0.0,0.0
