,C_x1,dx1/dx0{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0} * y1{power: 1.0}_x1,dx1/dx0{power: 1.0} * x1{power: 1.0}_x1,x1{power: 1.0}_x1,y1{power: 1.0}_x1,"x1{power: 1.0} * t{power: 1.0, dim: 0.0}_x1","dy1/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x1",x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0}_y1,C_y1,dy1/dx0{power: 1.0} * x1{power: 1.0}_y1,"y1{power: 1.0} * sin{power: 1.0, dim: 0.0}_y1",y1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,dx1/dx0{power: 1.0}_y1,x1{power: 1.0} * y1{power: 1.0}_y1,"dy1/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y1","t{power: 1.0, dim: 0.0} * cos{power: 1.0, dim: 0.0}_y1"
0,-0.00017349507660923192,-1.0,1.9879764498534669,2.784202132356135e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6877874264371127e-06,0.04672535821641891,0.00015449829529336388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001246444681461598,0.0,0.0,0.0,-1.0,-0.05648852968944801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.002417764686050979,0.0,7.514977709592376e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001246444681461598,0.0,0.0,0.0,-1.0,-0.05648852968944801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05339271199012947,-0.00016310452952718454,-1.0,0.0,0.00035738989542141296,0.0,0.0,0.0,0.0,0.0
3,0.001246444681461598,0.0,0.0,0.0,-1.0,-0.05648852968944801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.876655565512662e-05,0.0,0.0,0.0,-1.0,0.020140336050565356,0.0,0.0,0.0
4,-0.00017349507660923173,-1.0,1.9879764498534669,2.7842021323561334e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7197697612330087e-06,0.043237295981609046,0.00046972985973144055,-1.0,0.0,-0.0005493333423265221,0.0,0.0,0.0,0.0,0.0
5,-2.870758389186704e-05,0.05301247302982988,0.0,3.1145381974940735e-07,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.6877874264371127e-06,0.04672535821641891,0.00015449829529336388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.870758389186701e-05,0.05301247302982988,0.0,3.1145381974940714e-07,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017929706773722185,0.0,0.0,0.0,0.0,0.0,0.06896130437469439,-1.0,0.0
7,0.0033471183566931347,0.0,0.0,0.0,-1.0,0.0,0.0,-0.02159171931874467,-0.004768088552218817,0.0,0.0,0.0,0.0,-1.0,-0.00241768171505804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2854280097508537e-06
8,0.0028954981173118133,0.0,0.0,0.0,-1.0,0.0,0.0,-0.08034982500625973,0.0,0.0003038971494859178,0.0,0.0,-2.7197732912189097e-06,0.04323727598028548,0.0004697298597314566,-1.0,0.0,-0.000549332263723967,0.0,0.0,0.0,0.0,0.0
9,-2.7162433624598206e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005898937401364973,-1.0,0.0,0.0,-4.876655565512662e-05,0.0,0.0,0.0,-1.0,0.020140336050565356,0.0,0.0,0.0
