,d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0}_x1,C_x1,x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,dy1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0} * y1{power: 1.0}_x1",dx1/dx0{power: 1.0} * x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * d^2x1/dx0^2{power: 1.0}_x1",dy1/dx0{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,d^2y1/dx0^2{power: 1.0}_y1,C_y1,x1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,x1{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0} * y1{power: 1.0}_y1,dy1/dx0{power: 1.0} * x1{power: 1.0}_y1,y1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2y1/dx0^2{power: 1.0}_y1",dx1/dx0{power: 1.0} * x1{power: 1.0}_y1,d^2x1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * x1{power: 1.0}_y1"
0,0.11218725885396232,-0.000658802754931929,9.450468360938399e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12548608868242786,-6.841125352799605e-05,-1.0,0.0004807379666975867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.11218725885396232,-0.000658802754931929,9.450468360938399e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3810114294795613e-05,0.0,0.0,0.16015798726484343,1.0967011960224705e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,5.876750018414443e-06,0.0,-1.0,-0.6939303392126651,0.0,0.0,0.0,0.0,0.0,0.0,0.12548608868242786,-6.841125352799605e-05,-1.0,0.0004807379666975867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1.0,0.0,-0.0012455845140152166,0.0,0.0,0.0,0.007882132269758034,0.0,0.0,0.0,0.0,0.0,0.0,3.091463745829379e-05,0.0,-0.00020787857360618172,0.14398704751184885,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,5.876750018414443e-06,0.0,-1.0,-0.6939303392126651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3810114294795638e-05,0.0,0.0,0.16015798726484343,1.096701196022472e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,-1.2979977414914325e-06,0.0,0.14327324355277157,0.0,0.0,-4.0311489181972357e-07,2.654707687130986e-06,-1.0,-0.0001075550642892806,0.0,-1.0,0.0002152977825519804,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013826831974500069,0.00779153490473407,0.0,0.0,0.0
6,-1.0,-0.010727735371232045,0.001568878508745414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843511229467655e-07,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-4.823213166168586,0.0,0.0
7,0.0,0.0,-1.2979977414914325e-06,0.0,0.14327324355277157,0.0,0.0,-4.0311489181972373e-07,2.654707687130987e-06,-1.0,-0.00010755506428928074,0.0,0.09361829839085224,2.8251788240092346e-05,-1.0,0.0,0.0,0.0,0.0,0.0,-0.00016944181392532663,0.00033161186152579286,0.0,0.0,0.0
8,0.0,5.825786291149705e-06,-8.474072211849655e-07,0.0,0.0,3.171067517765549e-05,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.369921343483497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48190507438937646,0.0
9,0.0,0.0,8.753721496774237e-07,0.0,0.0,2.8503128290521698e-05,-5.689583645040315e-06,2.5730142433136103e-10,0.0,0.0,-1.7358982082409616e-06,-1.0,0.11976341914326254,-0.00011758884401756589,-1.0,0.0008361585120062056,0.0,2.5279911056813924e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.8887323115336196e-06
