,dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,C_x1,dx1/dx0{power: 1.0} * x1{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,x4{power: 1.0}_x1,y4{power: 1.0}_x1,y2{power: 1.0}_x1,x2{power: 1.0}_x1,C_y1,d^2y1/dx0^2{power: 1.0} * y1{power: 1.0}_y1,d^2y4/dx0^2{power: 1.0}_y1,y1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,d^2x4/dx0^2{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * x2{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,x4{power: 1.0}_y1,y2{power: 1.0}_y1,y5{power: 1.0}_y1,y4{power: 1.0}_y1,C_x2,dx2/dx0{power: 1.0} * x1{power: 1.0}_x2,d^2y5/dx0^2{power: 1.0}_x2,d^2x2/dx0^2{power: 1.0}_x2,y2{power: 1.0} * x2{power: 1.0}_x2,x3{power: 1.0}_x2,y2{power: 1.0}_x2,y5{power: 1.0}_x2,dy4/dx0{power: 1.0}_x2,dx5/dx0{power: 1.0} * d^2x2/dx0^2{power: 1.0}_x2,d^2y1/dx0^2{power: 1.0}_y2,C_y2,d^2y2/dx0^2{power: 1.0}_y2,y2{power: 1.0}_y2,dy2/dx0{power: 1.0}_y2,dx1/dx0{power: 1.0}_y2,dy1/dx0{power: 1.0} * d^2y4/dx0^2{power: 1.0}_y2,d^2x1/dx0^2{power: 1.0} * d^2y2/dx0^2{power: 1.0}_y2,x4{power: 1.0}_y2,d^2y2/dx0^2{power: 1.0} * dx3/dx0{power: 1.0}_y2,x2{power: 1.0}_y2,"t{power: 1.0, dim: 0.0}_y2",C_x3,d^2x3/dx0^2{power: 1.0}_x3,x2{power: 1.0}_x3,dx3/dx0{power: 1.0}_x3,y1{power: 1.0}_x3,dx3/dx0{power: 1.0} * x2{power: 1.0}_x3,y5{power: 1.0}_x3,y4{power: 1.0}_x3,dy4/dx0{power: 1.0}_x3,dx3/dx0{power: 1.0} * y1{power: 1.0}_x3,C_y3,dy3/dx0{power: 1.0}_y3,x1{power: 1.0} * y3{power: 1.0}_y3,"t{power: 1.0, dim: 0.0}_y3",dy2/dx0{power: 1.0}_y3,d^2y3/dx0^2{power: 1.0}_y3,x2{power: 1.0}_y3,y4{power: 1.0}_y3,dy3/dx0{power: 1.0} * x2{power: 1.0}_y3,y2{power: 1.0} * x4{power: 1.0}_y3,dy2/dx0{power: 1.0} * dy3/dx0{power: 1.0}_y3,d^2y2/dx0^2{power: 1.0}_y3,y3{power: 1.0}_y3,d^2x4/dx0^2{power: 1.0} * d^2y3/dx0^2{power: 1.0}_y3,y5{power: 1.0}_y3,x3{power: 1.0}_y3,d^2y1/dx0^2{power: 1.0}_y3,y3{power: 1.0} * d^2y3/dx0^2{power: 1.0}_y3,x5{power: 1.0}_y3,dx2/dx0{power: 1.0} * dy3/dx0{power: 1.0}_y3,y1{power: 1.0}_y3,y4{power: 1.0}_x4,x3{power: 1.0}_x4,C_x4,d^2x4/dx0^2{power: 1.0}_x4,"dy2/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x4",d^2x4/dx0^2{power: 1.0} * y5{power: 1.0}_x4,y3{power: 1.0}_x4,dx4/dx0{power: 1.0}_x4,y2{power: 1.0}_x4,y5{power: 1.0}_x4,y1{power: 1.0}_x4,x5{power: 1.0}_x4,dx5/dx0{power: 1.0}_x4,dx4/dx0{power: 1.0}_y4,C_y4,dy4/dx0{power: 1.0}_y4,y1{power: 1.0}_y4,x5{power: 1.0}_y4,d^2y4/dx0^2{power: 1.0}_y4,y3{power: 1.0}_y4,d^2x4/dx0^2{power: 1.0}_y4,d^2y4/dx0^2{power: 1.0} * x3{power: 1.0}_y4,y4{power: 1.0}_y4,x3{power: 1.0}_y4,"t{power: 1.0, dim: 0.0}_y4",y2{power: 1.0}_y4,C_x5,d^2x5/dx0^2{power: 1.0}_x5,y5{power: 1.0}_x5,x5{power: 1.0}_x5,x5{power: 1.0} * d^2x5/dx0^2{power: 1.0}_x5,x4{power: 1.0}_x5,dx1/dx0{power: 1.0}_x5,dy4/dx0{power: 1.0} * dx5/dx0{power: 1.0}_x5,dx5/dx0{power: 1.0}_x5,"t{power: 1.0, dim: 0.0}_x5","t{power: 1.0, dim: 0.0} * d^2x5/dx0^2{power: 1.0}_x5",y4{power: 1.0}_x5,C_y5,dy5/dx0{power: 1.0}_y5,x2{power: 1.0}_y5,x4{power: 1.0}_y5,x1{power: 1.0}_y5,dy1/dx0{power: 1.0}_y5,x3{power: 1.0}_y5,dy2/dx0{power: 1.0} * d^2y5/dx0^2{power: 1.0}_y5,y4{power: 1.0}_y5,d^2y5/dx0^2{power: 1.0}_y5,y1{power: 1.0}_y5,y5{power: 1.0}_y5,dy4/dx0{power: 1.0}_y5,y2{power: 1.0}_y5,d^2x5/dx0^2{power: 1.0} * d^2y5/dx0^2{power: 1.0}_y5
0,0.0517871324294865,0.00048805879226594933,-0.0001570311678928092,-1.0,0.0,0.0,0.0,0.0,0.0,-7.234737582914698e-07,-1.0,-0.1224768064230829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2421090401808274e-06,-1.0,-0.05648846100865168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2275540686408516,-5.808354450800132e-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005997914099820687,-1.0,0.006100404506093221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011441375265202397,-1.0,0.03214883296355082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204252168601106,0.002656937810063275,-0.0021969854799342857,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6307654318955134,9.150433929212455e-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006950368632361692,-1.0,-0.0051469417683485275,-0.020441364162099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028572701419266624,-1.0,-0.028798706107921325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,-0.0018871636128960764,0.0,-1.0,0.011666535183442291,0.0007146855548218875,0.0,0.0,0.004465503574436791,0.0,0.0,-0.013886058389032388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002466762233427244,0.0,0.0,-1.0,-0.08685572465663986,-0.0049610739522452235,0.07883069701004342,0.008102804832785507,0.0,0.0,0.0,0.009584271071417539,-1.0,-0.021827303726759503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000664992460609123,0.0,0.0,-1.0,-0.0013811971971535199,1.0162927290779478,-0.001194964790994988,0.0,0.0,0.0,0.00011399446977339788,0.0,0.0,-1.0316666328269128e-06,-0.02778791362718182,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01079547850976006,0.0032996162233093437,-0.0024248154475806105,-1.0,0.00027732073931988646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26857119204418967,0.0013803039730847255,-1.0,0.04294495312055257,-0.0525977017233178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006003851184058585,0.21137986052744728,-0.0005438980277643495,-0.0017128343168410901,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028572701419266624,-1.0,-0.028798706107921325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.051787132429486515,0.0004880587922659509,-0.0001570311678928097,-1.0,0.0,0.0,0.0,0.0,0.0,-6.436077581962421e-07,0.0,0.0,0.0,0.0,0.42054765530166194,-1.0,0.0,0.0,0.0,0.0,0.0,0.002466762233433222,0.0,0.0,-1.0,-0.08685572465647345,-0.004961073952235538,0.07883069700986711,0.008102804832771773,0.0,0.0,0.0,-0.00015444007960609563,0.0,0.0,-1.0,0.33710500535333693,0.0,0.0,0.0,0.0,0.0,0.0,0.0006649924606090839,0.0,0.0,-1.0,-0.0013858173942654546,1.0163107976155956,-0.0011866221905831066,0.0,0.0,0.0,-0.0038551633842322207,0.0,0.0,0.0,0.0,-1.0,0.003896246671223531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024109841199954922,0.0,0.0,-1.0,0.0005458860628562268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1098661131281996e-05,0.0,0.0,0.0,0.19212999642474946,0.0003547112374281977,0.003933384018481131,-1.0,-0.0007301495057013482,0.0,0.0,0.0,0.006950368632361751,-1.0,-0.005146941768347587,-0.020441364162099768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028572701419266624,-1.0,-0.028798706107921325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1.0,-0.03911102437914761,0.012602165685252034,0.0,0.0,0.0,0.0,0.0,0.0,0.004465503574436791,0.0,0.0,-0.013886058389032388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024667622334308506,0.0,0.0,-1.0,-0.08685572465645136,-0.0049610739522340415,0.07883069700985011,0.008102804832771697,0.0,0.0,0.0,0.009584271071417539,-1.0,-0.021827303726759503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000664992460609123,0.0,0.0,-1.0,-0.0013858173942655283,1.0163107976155952,-0.0011866221905831899,0.0,0.0,0.0,0.0036077446697055753,0.0,0.0,0.0,0.0,0.0,0.0,-0.02380513035115675,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01079547850976006,0.0032996162233093437,-0.0024248154475806105,-1.0,0.00027732073931988646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018069490640636854,0.0,0.0,0.0,0.19056259120380578,0.0,0.0,-1.0,-0.0007041202612698141,-0.00030366965139457604,0.0,0.0,0.0006003851184057996,0.21137986052748012,-0.000543898027764285,-0.0017128343168409314,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060199240201947515,-1.0,0.0,-0.03660706023754471,-0.017026036521150038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-1.0,-0.03911102437914761,0.012602165685252034,0.0,0.0,0.0,0.0,0.0,0.0,0.004465503574436791,0.0,0.0,-0.013886058389032388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002466762233433222,0.0,0.0,-1.0,-0.08685572465647345,-0.004961073952235538,0.07883069700986711,0.008102804832771773,0.0,0.0,0.0,2.5870967635438932e-08,0.0,0.0,0.0,0.0,-0.023508415966051313,-1.0,0.0,0.0,0.0,0.0,0.000664992460609123,0.0,0.0,-1.0,-0.0013858173942655283,1.0163107976155952,-0.0011866221905831899,0.0,0.0,0.0,-0.003612487575020648,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0506312951070803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01079547850976006,0.0032996162233093437,-0.0024248154475806105,-1.0,0.00027732073931988646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004533123478809985,-1.0,0.07530282112782903,-0.09981217081683412,0.0,0.0,0.0,0.0,0.0,0.0,2.841569021450971e-06,0.0,0.003783682150896901,-1.0,0.0,-0.012810374015363606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006019924020194744,-1.0,0.0,-0.03660706023754438,-0.017026036521150787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.00183522519820877,0.0,-1.0,0.0,0.0,-0.004199034863089685,0.0,0.004465503574436791,0.0,0.0,-0.013886058389032388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002466762233433222,0.0,0.0,-1.0,-0.08685572465647345,-0.004961073952235538,0.07883069700986711,0.008102804832771773,0.0,0.0,0.0,5.17897291245636e-07,0.0,0.0,0.0,0.0,0.0,0.0,-3.4256116990729626e-06,-1.0,0.0,0.0,-0.000877449822743351,-1.0,0.0,0.0,0.0,0.0,0.0,0.005472741956022243,0.0,0.0,9.63366252370023e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.000805319555292376,-2.2285395570885927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01079547850976006,0.0032996162233093437,-0.0024248154475806105,-1.0,0.00027732073931988646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003408812375823411,0.0,0.0,0.0,0.15724568501717218,0.00039001264383568606,0.0,-1.0,-0.001181040859263664,0.0,0.0,-0.0007420224963473755,1.9905579536765103e-06,0.0,0.0,0.0,0.0,-1.6832505051345022e-05,-0.0001538612298017753,-1.0,-0.001151651437945313,0.0,0.0,0.0,-2.1883349217527953e-06,0.0,0.0,0.0,0.0,-2.2033710239286434e-05,7.276259135631127e-06,-1.0,3.2033573134663604e-06,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.00183522519820877,0.0,-1.0,0.0,0.0,-0.004199034863089685,0.0,0.004465503574436791,0.0,0.0,-0.013886058389032388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024667622334356414,0.0,0.0,-1.0,-0.08685572465642927,-0.004961073952231894,0.078830697009819,0.008102804832765362,0.0,0.0,0.0,-0.004436039328585388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044950531635395185,0.0,0.0006649924606090839,0.0,0.0,-1.0,-0.0013858173942654546,1.0163107976155956,-0.0011866221905831066,0.0,0.0,0.0,-3.2853332807568773e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.342945768865461e-07,8.168258151232078e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012427936801335632,0.0,0.0,0.0,0.0,-1.0,-0.02801999847050053,0.0,0.0,0.0,0.0,0.0,0.004533123478809805,-1.0,0.07530282112782978,-0.09981217081683431,0.0,0.0,0.0,0.0,0.0,0.0,2.841569021450854e-06,0.0,0.0006003851184057996,0.21137986052748012,-0.000543898027764285,-0.0017128343168409314,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019231917584250661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.005973850906749178,0.0,0.0,0.0,0.0
7,0.0517871324294865,0.00048805879226594933,-0.0001570311678928092,-1.0,0.0,0.0,0.0,0.0,0.0,0.0010882938245249676,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.04779643800270809,-0.018120681575670105,0.0,0.0,0.002466762233433222,0.0,0.0,-1.0,-0.08685572465647345,-0.004961073952235538,0.07883069700986711,0.008102804832771773,0.0,0.0,0.0,0.009584271071417539,-1.0,-0.021827303726759503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000664992460609123,0.0,0.0,-1.0,-0.0013858173942655283,1.0163107976155952,-0.0011866221905831899,0.0,0.0,0.0,1.2864026881528857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10345190802148196,-1.0,0.0,0.0,0.0,0.0,0.0,0.012427936801335632,0.0,0.0,0.0,0.0,-1.0,-0.02801999847050053,0.0,0.0,0.0,0.0,0.0,-4.1098661131281996e-05,0.0,0.0,0.0,0.19212999642474946,0.0003547112374281977,0.003933384018481131,-1.0,-0.0007301495057013482,0.0,0.0,0.0,0.0004285231603550568,0.22707644929432125,0.0,-0.0015068543650445664,-1.0,0.0,0.0,0.0,0.0,1.434874861092166e-07,0.0,0.0,0.028572701419266624,-1.0,-0.028798706107921325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.00183522519820877,0.0,-1.0,0.0,0.0,-0.004199034863089685,0.0,0.00904379959452693,0.0,0.0,-0.024290049482136932,-1.0,0.0,0.0,0.0,0.0,0.0,-0.006827401835270148,0.0,0.002466762233427244,0.0,0.0,-1.0,-0.08685572465663986,-0.0049610739522452235,0.07883069701004342,0.008102804832785507,0.0,0.0,0.0,0.0006702957111935467,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.247390661028392e-06,-0.005997914099820687,-1.0,0.006100404506093223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010216748394808438,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003465957945928958,0.0,0.0,0.0,0.0,0.03169757956276139,0.0,0.0,0.0,0.0,-1.0,0.0,-0.04476008685132983,-0.07164020422862193,0.0,0.0,0.0,0.00018069490640637136,0.0,0.0,0.0,0.19056259120380545,0.0,0.0,-1.0,-0.0007041202612698222,-0.0003036696513945829,0.0,0.0,0.0006003851184058935,0.21137986052743088,-0.0005438980277643679,-0.001712834316841197,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003064333986052108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0031458810937035897,-0.011340854686285338,0.0,0.0,0.0
9,-1.0,-0.03911102437914761,0.012602165685252034,0.0,0.0,0.0,0.0,0.0,0.0,0.00904379959452693,0.0,0.0,-0.024290049482136932,-1.0,0.0,0.0,0.0,0.0,0.0,-0.006827401835270148,0.0,0.002466762233428568,0.0,0.0,-1.0,-0.08685572465656152,-0.004961073952247033,0.07883069700996523,0.008102804832783354,0.0,0.0,0.0,0.009584271071417539,-1.0,-0.021827303726759503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.038440623130858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12029328522441227,-1.0,9.724837162637673e-07,0.0,0.0,-1.0221327229000962e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.008129127324150779,0.0,-0.001283914249207244,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004981944993595724,0.0,0.0,0.0,0.1677684663454443,0.0,0.0,-1.0,-0.0008354869282761061,-7.680055361447846e-05,0.0,-0.0007891420436554709,0.0006003851184058585,0.21137986052744728,-0.0005438980277643495,-0.0017128343168410901,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006019924020194744,-1.0,0.0,-0.03660706023754438,-0.017026036521150787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
