,x1{power: 1.0}_x1,C_x1,x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,d^2y1/dx0^2{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,x1{power: 1.0} * dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * d^2y1/dx0^2{power: 1.0}_x1","dx1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0}_x1",dy1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_y1",C_y1,dy1/dx0{power: 1.0}_y1,x1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * x1{power: 1.0}_y1",y1{power: 1.0} * dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * y1{power: 1.0}_y1","t{power: 1.0, dim: 0.0} * dy1/dx0{power: 1.0}_y1",dx1/dx0{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1
0,-0.0016776056714336463,0.0013333302940324446,-1.0,0.3579270721451955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891278391667687e-05,0.03958933826746088,-1.0,-0.05888020212639934,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0006802263651350858,0.0,0.0,-4.475026674647091,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891278391667448e-05,0.03958933826746022,-1.0,-0.058880202126398155,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0008313069984424052,0.0006863962920379909,0.0,0.0,0.0,-1.0,1.2362619875762446,0.0,0.0,0.0,0.0,0.0,0.0,5.894944466531927e-05,0.03958933826746088,-1.0,-0.058884885557958226,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.00046144366270065295,0.0,-1.0,0.0,0.0,0.0,-0.0007054781879427248,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047233913593136426,0.5813596860572446,0.0,3.6681633524294312e-06,-1.0,0.0,0.0,0.0,0.0
4,-0.0005408549337487986,0.0003827219457952037,0.0,0.0,0.0,-1.0,1.2345968656630504,0.00011608954463615287,0.0,0.0,0.0,0.0,0.0,5.894944466531927e-05,0.03958933826746088,-1.0,-0.058884885557958226,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0006802263651350858,0.0,0.0,-4.475026674647091,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012067849398494361,0.03808906461119546,-1.0,-0.05507387774917477,0.0,0.0,-0.00013258144044875285,0.0,0.0,0.0
6,0.0,-0.00023851216536193787,0.0,0.0,0.0,-1.0,1.2305507508854603,0.00041376087404477416,0.0,0.0,0.0,0.0,0.0,0.0001206784939849353,0.038089064611193844,-1.0,-0.055073877749173085,0.0,0.0,-0.00013258144044873466,0.0,0.0,0.0
7,0.0,0.000618678317692272,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.058830705485623386,0.0,0.0,0.0,5.891278391667687e-05,0.03958933826746088,-1.0,-0.05888020212639934,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.004905641166684216,0.00420720020780336,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.007953257336517906,0.0,0.0,6.456592571782426e-05,-0.0036346019656641566,-1.0,0.0038809589141692285,0.0,0.0,-0.00011611269410989704,0.008639482815717013,0.0,0.0
9,0.0,-4.9528877040581474e-05,0.0,0.0,0.0,0.8070039746888509,-1.0,0.0,0.0,0.0,0.0,3.240585700700866e-07,0.0,0.0,0.018886566174283675,-1.0,-0.025143716631574105,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.00012814024681661476,0.0,0.0,0.0,0.8096625834171133,-1.0,-0.00023203091854313021,0.0,0.0,0.0,0.0,0.0,4.150062931570982e-05,-0.006112837838009377,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,9.297154426517517e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625501869902991,-2.0105095823423568e-07,7.146171838519759e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.05578025779536535,-1.0
