,y1{power: 1.0}_x1,C_x1,d^2x1/dx0^2{power: 1.0} * y1{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",x1{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,dx1/dx0{power: 1.0} * x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * dx1/dx0{power: 1.0}_x1",y1{power: 1.0}_y1,C_y1,d^2y1/dx0^2{power: 1.0}_y1,y1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,x1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",x1{power: 1.0} * dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * x1{power: 1.0}_y1",dx1/dx0{power: 1.0} * dy1/dx0{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * x1{power: 1.0}_y1,y1{power: 1.0} * dy1/dx0{power: 1.0}_y1,d^2x1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2x1/dx0^2{power: 1.0}_y1"
0,-0.00033058398439665253,0.00015037804371986603,-1.0,0.445577684918881,0.0,0.0,0.0,0.0,0.0,0.0,-0.00643763650614462,0.0029461524738312065,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.000739361477022913,-1.0,0.18389149935339227,-7.644025487943402e-07,-0.0012598005050164218,0.0,0.0,0.0,0.0,-0.0007871604062725383,0.0003573054035818738,0.4169114196980088,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0032004021798628657,-0.001492140611633681,0.0,0.0,0.0,0.0,2.150732978188804,-1.0,0.0,0.0,-0.0007871604062724857,0.0003573054035818497,0.4169114196980163,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.00011911454109598118,0.0,0.0,-1.9012523337084202e-07,-0.000170878692274548,-1.0,0.3555023453494855,0.18901478630563026,0.0,0.0,0.002044060522968758,0.0,0.0,0.5141545764859221,-0.0037155476167434827,-1.6822579332376846e-05,-1.0,3.103686446368471e-05,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0035423956020546312,0.0,-1.0,-3.5630676554984873e-06,-0.006053502210200641,0.0,0.0,0.0,0.0,0.0,5.478530173104067e-06,0.0,0.0,0.0,-9.576646406285482e-06,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
5,0.0,0.0016092856331586984,0.0,-1.0,0.0,-0.0030405626377717444,0.0,0.0,0.0,0.0,0.0,0.002044060522968758,0.0,0.0,0.5141545764859221,-0.0037155476167434827,-1.6822579332376846e-05,-1.0,3.103686446368471e-05,0.0,0.0,0.0,0.0,0.0
6,0.0,0.00042032969161244065,0.0,0.0,0.0,-0.0007772322798603967,-1.0,0.4252127875452524,0.0,0.00024337292474688787,0.0,0.0020440605229657864,0.0,0.0,0.5141545764859259,-0.0037155476167378978,-1.6822579332344927e-05,-1.0,3.1036864463622876e-05,0.0,0.0,0.0,0.0,0.0
7,0.0,2.7195659978382325e-05,0.0,0.0,-1.5296281170093445e-07,0.0,-1.0,0.3513135680187666,0.19719372159429435,0.0,-0.0007871604062725383,0.0003573054035818738,0.4169114196980088,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.002039724625607292,0.0009375125895039037,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033698868737910806,0.001540872310020964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
9,0.0,0.0016092856331586984,0.0,-1.0,0.0,-0.0030405626377717453,0.0,0.0,0.0,0.0,0.010395442652587893,0.0018277183596916548,0.0,0.0,0.0,-0.012509972772145881,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
10,0.0,0.00011911454109596187,0.0,0.0,-1.9012523337084787e-07,-0.00017087869227450873,-1.0,0.35550234534948266,0.1890147863056358,0.0,0.0,2.880663146992103e-07,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051772409135866025,0.0
11,0.0,0.0035423956020546312,0.0,-1.0,-3.5630676554984873e-06,-0.006053502210200641,0.0,0.0,0.0,0.0,0.0,-1.1229502896985207e-07,0.0,0.0,0.0,0.0,4.795229173308893e-09,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
12,0.0,0.0035423956020546312,0.0,-1.0,-3.5630676554984873e-06,-0.006053502210200641,0.0,0.0,0.0,0.0,0.0,7.114090213131662e-06,0.0,0.0,-0.00026613543230722265,-1.27159641872727e-05,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
13,0.0008968169430100688,0.00025213619493701393,0.0,0.0,0.0,-0.0012441093210212206,-1.0,0.3966609216198351,0.0,0.00044863187027931363,-0.002243511349447716,0.0010453919006928564,0.1569141102419308,-1.0,0.0,0.0,-2.160799294219349e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005604999173240767
