,x1{power: 1.0}_x1,C_x1,dx1/dx0{power: 1.0}_x1,"dx1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0}_x1",dx1/dx0{power: 1.0} * y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * y1{power: 1.0}_x1",y1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,y1{power: 1.0}_x1,y1{power: 1.0} * x1{power: 1.0}_x1,dy1/dx0{power: 1.0}_x1,y1{power: 1.0} * dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",C_y1,dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2y1/dx0^2{power: 1.0}_y1",y1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * y1{power: 1.0}_y1",dx1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * cos{power: 1.0, dim: 0.0}_y1","dy1/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y1","y1{power: 1.0} * cos{power: 1.0, dim: 0.0}_y1",x1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,"dy1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y1"
0,-0.023026637263602084,0.0012184200296771071,-1.0,0.012123293581550856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.943761396830605,-9.776826269678523e-06,0.0009907871981478333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.023026637263602084,0.0012184200296771071,-1.0,0.012123293581550856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026584343760196482,0.0,-1.0,-0.05813115518389733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.023026637263602084,0.0012184200296771071,-1.0,0.012123293581550856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.464423944688383,1.6362608923805185e-05,0.002650680826252679,-1.0,0.0,0.0,-0.00010234016476318961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,-0.004793945126811107,0.0,0.0,3.314172014327807e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1974860918293347e-05,-0.004856531691439231,-1.0,0.0,0.0,0.0,-0.6016954530136901,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.023026637263602084,0.0012184200296771071,-1.0,0.012123293581550856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.621132557917527e-07,0.0,0.0,0.0,0.0,0.0,-2.3362904709242437e-06,-1.0,0.0,0.0,0.0,0.0
5,0.0,-0.012864704496659883,-1.0,0.0,0.0,0.0,0.00023194516964181134,0.0,0.0,0.0,0.0,0.0,1.943761396830605,-9.776826269678523e-06,0.0009907871981478333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.012864704496659883,-1.0,0.0,0.0,0.0,0.00023194516964181134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6031758815689525e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.00030732628763097055,0.0,0.0,0.0
7,0.0,-0.012864704496659883,-1.0,0.0,0.0,0.0,0.00023194516964181134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035229750449739753,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02320403105051315,0.0,0.0
8,-0.023026637263602084,0.0012184200296771071,-1.0,0.012123293581550856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6031758815689525e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.00030732628763097055,0.0,0.0,0.0
9,0.0,-0.00013260735893990726,0.0,0.0,0.0,0.0,0.0,-1.0,0.21236727399905664,0.000350625766448769,0.0,0.0,-1.0,5.790910218494188e-06,-0.0006547046797631892,0.485320724981543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.001609596416746587,0.0,0.007449364042503147,-1.0745221477024433e-05,-1.0,0.0,0.0,0.0,0.0,-0.025320959901577594,0.0,1.9437613968306051,-9.776826269678494e-06,0.0009907871981478297,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0016095964167465657,0.0,0.007449364042503088,-1.0745221477024227e-05,-1.0,0.0,0.0,0.0,0.0,-0.02532095990157768,0.0,1.4644239446883698,1.63626089238054e-05,0.002650680826252681,-1.0,0.0,0.0,-0.00010234016476319033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,-0.0001034490813486587,0.0,-6.995844317011165e-05,0.0,0.0,0.0,-1.0,0.19564244691361884,0.0002795791166833633,0.0,0.0,0.0,0.0,4.6031758815689525e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.00030732628763097055,0.0,0.0,0.0
13,0.0007114134938353984,-0.00029019533498734655,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.002281175730003324,0.0,0.0,-0.00012242600649992535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0004299202281265113
