,dy1/dx0{power: 1.0}_x1,C_x1,x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,d^2y1/dx0^2{power: 1.0}_x1,"d^2x1/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0} * y1{power: 1.0}_x1",y1{power: 1.0}_x1,y1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_y1,C_y1,d^2y1/dx0^2{power: 1.0} * x1{power: 1.0}_y1,x1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",x1{power: 1.0} * y1{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1
0,-0.0016921911443312809,-4.0896373442491985e-06,-1.0,0.7927051858759194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016485147733619017,3.355141740386321e-05,-1.0,0.00027291513613029425,0.7561409968466662,0.0,0.0,0.0
1,0.0,0.00038171350359546995,0.0,0.0,-1.0,2.669991969021647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015967346560541718,0.000247944857496908,-1.0,0.0,0.7575615228575254,0.0,0.0,0.0
2,0.0,0.0011624639369615427,0.0,-1.0,0.0,0.0,0.008316608541915262,-0.0014120113198169298,0.0,0.0,0.0,0.0,0.0,-0.0030054720347955817,0.0003896489415769888,-1.0,0.0,0.7147430307921979,7.498887067500456e-07,0.0,0.0
3,0.0,0.003485161119577836,0.0,-1.0,0.0,0.0,0.007249690517404423,-0.004364439936832801,8.676944801250343e-07,0.0,0.0,0.0,0.0,-0.0030085458457169904,0.0003896489415769888,-1.0,0.0,0.7146815838132342,7.544548525294897e-07,0.0,0.0
4,-0.08301023281318191,3.057940408387942e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002850454528439941,0.0,0.0,-1.0,0.0,-0.02244439375083069,0.0
5,0.0,0.015351734344795332,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0001939014436988414,-0.1176735356478825,0.0,0.0,-0.020465732419056207,0.003176861178641238,0.0,0.0,-1.0,0.0,0.0,0.0
6,0.0,0.017925723465128086,0.0,-1.0,0.0,0.0,0.0,-0.022929949382270855,7.4055072202696055e-06,0.0,0.0,0.0,0.0,-0.020465732419056207,0.003176861178641238,0.0,0.0,-1.0,0.0,0.0,0.0
7,0.0,0.00024461779084901315,0.0,0.139957611775878,0.0,0.0,0.0,-0.0003007141225836214,0.0,0.0,0.0,-1.0,0.0,0.0,-0.08591846518651357,0.0,0.10158408757293985,0.0,0.0,0.0,-1.0
8,0.0,1.9418037915896432e-05,0.0,0.0,0.0,0.4680459692521192,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.003008545845716835,0.0003896489415769686,-1.0,0.0,0.71468158381324,7.5445485252945e-07,0.0,0.0
9,0.0,0.0007463492593896841,-1.0,0.7747390707761893,0.0,0.0,0.0,-0.0009243055512713522,0.0,0.0,0.0,0.0,0.0,-0.020388725429898318,0.00027637757554996615,0.0,0.003540719659538682,-1.0,0.0,0.0,0.0
