,x1{power: 1.0}_x1,C_x1,d^2x1/dx0^2{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,"dy1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0} * y1{power: 1.0}_x1","x1{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",y1{power: 1.0}_x1,y1{power: 1.0} * x1{power: 1.0}_x1,x1{power: 1.0} * dx1/dx0{power: 1.0}_x1,y1{power: 1.0} * dy1/dx0{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0} * x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",dy1/dx0{power: 1.0}_x1,y1{power: 1.0}_y1,C_y1,d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2y1/dx0^2{power: 1.0}_y1",x1{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0} * x1{power: 1.0}_y1,dx1/dx0{power: 1.0}_y1,d^2x1/dx0^2{power: 1.0}_y1,dy1/dx0{power: 1.0} * d^2x1/dx0^2{power: 1.0}_y1
0,-0.014724735373417319,0.010991736057317313,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026265815471968055,0.00178833434448946,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.1948590897006982e-05,0.0,-1.0,0.6743343854538428,-0.00014757833909314667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009504915425830347,-1.0,0.008742001622578996,-0.001282045249511935,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.1948590897006982e-05,0.0,-1.0,0.6743343854538428,-0.00014757833909314667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.078832608192709e-05,0.0,0.0,0.0,0.7365023022919184,4.853921149500734e-07,-1.0,0.0,0.0,0.0
3,0.0,-1.9553812296853927e-05,0.0,-1.0,0.66984372839614,0.0,-1.7330594948356265e-05,1.6096974218487345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036238178797873136,-0.00025190380138769865,0.0,0.0,0.0,0.7416124346330142,0.0,-1.0,0.0,0.0,0.0
4,-0.014724735373417319,0.010991736057317313,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036238178797872193,-0.00025190380138769236,0.0,0.0,0.0,0.7416124346330142,0.0,-1.0,0.0,0.0,0.0
5,0.0,-0.0017325867712036412,-1.0,0.0,0.0,0.0,0.0,0.0,0.024808895794341757,-0.02988262850670114,0.0,0.0,0.0,0.0,0.0,0.0,0.0001344891441944166,0.0,0.0,0.0,-1.0,0.0,0.0,0.18358795824736557,0.0,0.0
6,0.0,-0.0017325867712036412,-1.0,0.0,0.0,0.0,0.0,0.0,0.024808895794341757,-0.02988262850670114,0.0,0.0,0.0,0.0,0.0,0.0,-6.078832608192709e-05,0.0,0.0,0.0,0.7365023022919184,4.853921149500734e-07,-1.0,0.0,0.0,0.0
7,0.0001239566283318143,-9.848560440540813e-05,0.0,0.0,0.7385298711936746,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0001344891441944166,0.0,0.0,0.0,-1.0,0.0,0.0,0.18358795824736557,0.0,0.0
8,-0.016837943307104263,0.012443374066907553,-1.0,0.0,0.0,0.0,1.7265521952043802e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036238178797873136,-0.00025190380138769865,0.0,0.0,0.0,0.7416124346330142,0.0,-1.0,0.0,0.0,0.0
9,0.0001239566283318143,-9.848560440540813e-05,0.0,0.0,0.7385298711936746,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.00513873086688524,0.0035143994394031134,-1.0,0.0,0.0,0.0,-9.5427340208727e-09,0.0,0.0,0.0,0.0
10,0.0,9.128509923292069e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08735977053767346,0.0,0.0,0.0,0.0,1.4495980973130107e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21864395544484272,0.0
11,-0.013902526537819551,0.010317827434096058,0.0,0.0,0.0,0.0,2.1462775824894778e-05,0.0,0.0,0.0,0.0,0.0,-1.0,-1.4183678905417598e-05,0.0,0.00036238178797872193,-0.00025190380138769236,0.0,0.0,0.0,0.7416124346330142,0.0,-1.0,0.0,0.0,0.0
12,-0.002173530413512566,0.0016253783100149035,0.0,1.4765516632319642,-1.0,0.0,2.3464183546779644e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.6132298312848132e-05,0.0,0.0,0.0009504915425830347,-1.0,0.008742001622578996,-0.001282045249511935,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,8.093381070382093e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14609855530808138,0.0,1.1292489319123458e-07,0.0,0.0,0.0,6.134363892377498e-05,0.0,0.0,0.0,-0.0006015577852736277,-1.0
