,x1{power: 1.0} * dx1/dx0{power: 1.0}_x1,x1{power: 1.0}_x1,C_x1,dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1","x1{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",dy1/dx0{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,"dy1/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x1",C_y1,d^2y1/dx0^2{power: 1.0}_y1,y1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * y1{power: 1.0}_y1",d^2y1/dx0^2{power: 1.0} * x1{power: 1.0}_y1,"dx1/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y1",y1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,dx1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0} * y1{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * d^2x1/dx0^2{power: 1.0}_y1",x1{power: 1.0}_y1
0,1.1355783239116084,0.004563485640491556,-0.003525086503935844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013554081741450293,-1.0,-0.011049614219740626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.00038106766422035847,0.15636494412301208,-0.0015656347423230973,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029314402253144113,-1.0,0.0,-2.2393319309997423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.00038106766422035847,0.15636494412301208,-0.0015656347423230973,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338727106840042e-05,0.5523420784102939,-0.0004019426247393135,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,-0.0013153891995913722,0.001464674243715728,0.1383981481177674,0.0,-1.0,-6.4232185932804795e-06,1.3494247370471412e-06,0.0,0.0,0.0,0.0,4.338727106840042e-05,0.5523420784102939,-0.0004019426247393135,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1355783239115955,0.004563485640491533,-0.003525086503935844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029314402253144113,-1.0,0.0,-2.2393319309997423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.00038106766422035934,0.15636494412301216,-0.001565634742323103,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007350754113559188,0.0,-0.006086950975877389,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,1.3106718021347084e-05,0.0,0.0,0.0,0.0,0.0,0.04320692840454157,-1.0,0.0,0.0,1.73510115012386e-05,-1.0,0.0,0.0,0.0,0.0045020226254805585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.00038106766422035847,0.15636494412301208,-0.0015656347423230973,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.01712796314771e-05,0.0,0.0,0.0,0.0,0.0,-1.0,-0.006513182891831518,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,-3.340479752173381e-05,0.0,0.0005375241688118747,0.0,0.0,0.0,0.0,-1.0,1.53327900334387,0.0,4.338727106840042e-05,0.5523420784102939,-0.0004019426247393135,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.00038106766422035847,0.15636494412301208,-0.0015656347423230973,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.057692994214511e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.806787369593903e-07,-1.0,0.11567369775653781,0.0,0.0
10,0.0,0.0,-5.800591646351298e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.03330051403649683,1.73510115012386e-05,-1.0,0.0,0.0,0.0,0.0045020226254805585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.00038106766422035847,0.15636494412301208,-0.0015656347423230973,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013554081741450293,-1.0,-0.011049614219740626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.1355783239116084,0.004563485640491556,-0.003525086503935844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021184835168563666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.006082836435084406,0.0
13,0.0,0.0,0.00038106766422035847,0.15636494412301208,-0.0015656347423230973,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018798457736775673,-1.0,0.0,-6.847958427138967e-05,1.398972430793772,0.0,0.0,0.0,1.4611003627115435e-05,0.0,0.0,0.0,0.002085115638938624
