,C_x1,d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",x2{power: 1.0} * y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * y2{power: 1.0}_x1",y2{power: 1.0}_x1,d^2x2/dx0^2{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,d^2x2/dx0^2{power: 1.0}_x1,C_y1,dy1/dx0{power: 1.0}_y1,x1{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",y1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,x1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,"y2{power: 1.0} * t{power: 1.0, dim: 0.0}_y1",x2{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,y1{power: 1.0}_x2,C_x2,dx2/dx0{power: 1.0}_x2,d^2x2/dx0^2{power: 1.0}_x2,x1{power: 1.0}_x2,x2{power: 1.0}_x2,y2{power: 1.0} * d^2x2/dx0^2{power: 1.0}_x2,y2{power: 1.0} * x2{power: 1.0}_x2,"t{power: 1.0, dim: 0.0}_x2",d^2y1/dx0^2{power: 1.0} * y2{power: 1.0}_x2,x1{power: 1.0} * dx2/dx0{power: 1.0}_x2,C_y2,dy2/dx0{power: 1.0}_y2,x1{power: 1.0}_y2,d^2y2/dx0^2{power: 1.0}_y2,d^2y1/dx0^2{power: 1.0}_y2,x2{power: 1.0}_y2,y1{power: 1.0}_y2
0,0.011790820670039136,-1.0,-0.013368245937912821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1023452291611124,-1.0,0.11573928253523945,0.0,0.0,0.0,0.0,0.0,0.0,-0.02307040960016606,0.014327796475108122,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
1,0.07013696335772517,0.0,0.0,-1.0,-0.10507942583806922,-4.1997622058651054e-05,0.0,0.0,0.0,0.0,0.0,-0.1023452291611124,-1.0,0.11573928253523945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005143445319016103,0.0,0.7588736607179186,-9.47446934885344e-05,-0.0005474473402572456,-1.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
2,0.07013696335772517,0.0,0.0,-1.0,-0.10507942583806922,-4.1997622058651054e-05,0.0,0.0,0.0,0.0,0.0,-0.1014624130025302,-1.0,0.11661872532972062,-1.629658915799542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005143445319016101,0.0,0.7588736607179185,-9.474469348852939e-05,-0.0005474473402572509,-1.0,0.0,0.0,0.0,0.0,-2.7748620447712682e-06,0.0,0.0,-1.0,-0.1510009505951112,0.0,0.0
3,0.06110982756652098,0.0,0.0,-1.0,-0.09713018420680962,0.0,0.0,0.0,0.0,0.0,0.0,0.0007609067826770721,0.0,0.0,0.0,-0.001216623320369578,0.8159043107760492,-1.0,0.0,0.0,0.0,0.0005143445319016703,0.0,0.7588736607179167,-9.474469348850054e-05,-0.0005474473402573601,-1.0,0.0,0.0,0.0,0.0,0.04943392336814431,-1.0,0.0,0.0,0.0,-0.06338124835316568,0.0
4,0.07201427455365574,0.0,0.0,-1.0,0.0,-5.5566634917782415e-05,-0.13491689141944974,0.0,0.0,0.0,0.0,-0.1023452291611124,-1.0,0.11573928253523945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005143445319016103,0.0,0.7588736607179186,-9.47446934885344e-05,-0.0005474473402572456,-1.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
5,0.07201427455365574,0.0,0.0,-1.0,0.0,-5.555948639019437e-05,-0.13491830232834906,0.0,0.0,0.0,0.0,-0.1023452291611124,-1.0,0.11573928253523945,0.0,0.0,0.0,0.0,0.0,0.0,-0.02307040960016606,0.014327796475108122,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048360341087214063,-1.0,-0.03331603354765763,0.0,0.0,-0.02421245274710444,0.0
6,0.014862144225847081,-1.0,-0.015686296687280683,0.0,0.0,0.0,0.0,2.179019574880773e-06,-0.001516600847353294,0.0,0.0,0.0007609067826770721,0.0,0.0,0.0,-0.001216623320369578,0.8159043107760492,-1.0,0.0,0.0,0.0,0.0005143445319016103,0.0,0.7588736607179186,-9.47446934885344e-05,-0.0005474473402572456,-1.0,0.0,0.0,0.0,0.0,0.04836034108721372,-1.0,-0.03331603354765645,0.0,0.0,-0.02421245274710525,0.0
7,0.06110982756652098,0.0,0.0,-1.0,-0.09713018420680963,0.0,0.0,0.0,0.0,0.0,0.0,0.007459287050604892,0.0,0.0,0.0,-0.01194061988171723,-1.0,0.0,0.0,0.0,-0.02307040960016606,0.014327796475108122,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
8,0.07013696335772526,0.0,0.0,-1.0,-0.10507942583806933,-4.199762205865128e-05,0.0,0.0,0.0,0.0,0.0,-0.1023452291611124,-1.0,0.11573928253523945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005143445319016103,0.0,0.758873794749334,-9.472217284528434e-05,-0.0005474726986130223,-1.0,0.0,0.0,0.0,0.0,-0.0016259475610918461,0.0,0.0,-1.0,0.0,0.0,0.0026187235009500235
9,0.07201427455365574,0.0,0.0,-1.0,0.0,-5.5566634917782415e-05,-0.13491689141944974,0.0,0.0,0.0,0.0,-0.10101163714210594,-1.0,0.11619082384942196,0.0,0.0,0.0,0.0,-2.213162570404143e-05,0.0,0.0,0.0005143445319016101,0.0,0.7588736607179185,-9.474469348852939e-05,-0.0005474473402572509,-1.0,0.0,0.0,0.0,0.0,0.048360341087214063,-1.0,-0.03277196984187347,0.0,0.0,-0.024826153115012503,0.0
10,-6.587235187973762e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.131558217683074e-07,-1.0,0.0,0.0004655385932117307,0.0,0.0,-3.1161237657988247e-07,-0.0006932936739284449,0.4211472389929226,0.37039753003755793,0.0,-1.0,-0.02307040960016606,0.014327796475108122,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
11,0.07013696335772517,0.0,0.0,-1.0,-0.10507942583806922,-4.1997622058651054e-05,0.0,0.0,0.0,0.0,0.0,0.0007609067826770721,0.0,0.0,0.0,-0.001216623320369578,0.8159043107760492,-1.0,0.0,0.0,0.0,-0.046803216929001,-1.0,0.0,0.0,0.0,0.0,0.0695400352052393,4.0208486979483016e-05,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
12,0.07013696335772517,0.0,0.0,-1.0,-0.10507942583806922,-4.1997622058651054e-05,0.0,0.0,0.0,0.0,0.0,0.0010076336990634017,0.0,0.0,-5.990968206123886e-07,-0.0015175616468022753,0.7983564421996692,-1.0,0.0,0.0,0.0,0.0005143445319016103,0.0,0.7588736607179186,-9.47446934885344e-05,-0.0005474473402572456,-1.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
13,-8.100840226893592e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327715647007383,-0.10101163714210594,-1.0,0.11619278178579961,0.0,0.0,0.0,0.0,-2.2154149400507914e-05,0.0,0.0,-0.0015474182589525914,-1.0,0.0,0.0,0.0,0.0,0.0,1.3301632496391728e-05,0.4315966582238449,0.0,-0.0016259475610918461,0.0,0.0,-1.0,0.0,0.0,0.0026187235009500235
14,0.07013696335772517,0.0,0.0,-1.0,-0.10507942583806922,-4.1997622058651054e-05,0.0,0.0,0.0,0.0,0.0,0.0007609067826770721,0.0,0.0,0.0,-0.001216623320369578,0.8159043107760492,-1.0,0.0,0.0,-0.020420300384595393,0.012676687603639082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.048360341087214063,-1.0,-0.03331603354765763,0.0,0.0,-0.02421245274710444,0.0
15,0.07013696335772526,0.0,0.0,-1.0,-0.10507914126576617,-4.199944767824317e-05,0.0,0.0,0.0,0.0,0.0,-0.1023452291611124,-1.0,0.11573928253523945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005463720539106145,0.0,-1.0,-0.0010327125360263256,-0.005813538933780876,0.0,0.0,0.0,0.0,0.0,0.02567483826746135,-1.0,-0.029560453782862175,0.0,0.0,0.0,0.0
