,y1{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0}_x1,C_x1,d^2x1/dx0^2{power: 1.0} * y1{power: 1.0}_x1,dy1/dx0{power: 1.0}_x1,x1{power: 1.0} * d^2x1/dx0^2{power: 1.0}_x1,x1{power: 1.0} * dy1/dx0{power: 1.0}_x1,dx1/dx0{power: 1.0} * x1{power: 1.0}_x1,x1{power: 1.0} * y1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1","d^2x1/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_x1",dy1/dx0{power: 1.0}_y1,x1{power: 1.0}_y1,C_y1,y1{power: 1.0} * dy1/dx0{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * x1{power: 1.0}_y1,y1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * dy1/dx0{power: 1.0}_y1","t{power: 1.0, dim: 0.0}_y1","y1{power: 1.0} * sin{power: 1.0, dim: 0.0}_y1",dx1/dx0{power: 1.0}_y1
0,0.00025144928414346093,0.5218827678666992,-0.0005188413176973786,6.586468548184314e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5421147477833466,-0.00013392325225385394,5.444416426764571e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.000251449284143461,0.5218827678666991,-0.0005188413176973787,6.586468548184314e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045753512749343667,0.0,-1.0,-0.0008377653093301898,0.35198860823836114,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,-4.82655967592733e-06,-1.0,0.0500119730251436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045753512749343667,0.0,-1.0,-0.0008377653093301898,0.35198860823836114,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,-4.82655967592733e-06,-1.0,0.0500119730251436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005566225672671142,0.0,0.0,-0.010228274569912625,-1.0,0.0,0.0,0.0,0.0
4,0.00025447676141762704,0.47682460368251733,-0.0004450600473253126,3.617818664704237e-05,-1.0,0.0,0.12816036913967982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045753512749343667,0.0,-1.0,-0.0008377653093301898,0.35198860823836114,0.0,0.0,0.0,0.0
5,0.0002564173718910055,0.47622025802361173,-0.00044775988104071114,3.617818664707394e-05,-1.0,0.0,0.12933836884810843,0.0,0.0,0.0,0.0,0.0,0.5421147477833466,-0.00013392325225385394,5.444416426764571e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-1.0,0.0,-3.5752105163946323e-06,0.0,0.0,0.0,0.22585532017542093,0.0,0.0,0.0,0.0,0.5421147477833466,-0.00013392325225385394,5.444416426764571e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.03993314268540106,0.0,0.0,-0.02198038510257648,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.00045753512749346404,0.0,-1.0,-0.0008377653093302402,0.3519886082383543,0.0,0.0,0.0,0.0
8,0.0002564173718910055,0.47622025802361173,-0.00044775988104071114,3.617818664707394e-05,-1.0,0.0,0.12933836884810843,0.0,0.0,0.0,0.0,0.0,0.5340870058764958,-0.00020209555633805688,8.089148135301392e-05,-1.0,0.0,0.0,0.0,7.977313247679602e-05,0.0,0.0,0.0
9,0.0003146767996167042,0.3526473338652052,0.0,-2.949237736047839e-06,0.0,0.0,-1.0,0.0,0.0,-0.0008257568075098174,0.0,0.0,0.0,0.0,0.00045753512749343667,0.0,-1.0,-0.0008377653093301898,0.35198860823836114,0.0,0.0,0.0,0.0
10,0.0002544767614175775,0.4768246036825176,-0.00044506004732532416,3.617818664707394e-05,-1.0,0.0,0.12816036913967807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005566225672671142,0.0,0.0,-0.010228274569912625,-1.0,0.0,0.0,0.0,0.0
11,0.0,0.343749095381135,-0.000575297035644162,0.00024195156142933977,0.0,0.0,-1.0,0.0,0.0,0.0,-2.4486894182519566e-07,0.0,0.0,0.0,0.00045753512749343667,0.0,-1.0,-0.0008377653093301898,0.35198860823836114,0.0,0.0,0.0,0.0
12,0.0002544767614175775,0.4768246036825176,-0.00044506004732532416,3.617818664707394e-05,-1.0,0.0,0.12816036913967807,0.0,0.0,0.0,0.0,0.0,0.5335183552161186,-0.00019538067723584072,9.60008657150245e-05,-1.0,0.0,0.0,0.0,7.681151535314386e-05,-1.6851240245832029e-07,4.6144934149192e-06,0.0
13,0.0,0.0,0.0,-2.4740839970018643e-06,0.0,0.0007519423158734747,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.596108608669347e-05,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.03271998576726724
