# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.991650301031768322e-04 5.327024459838867188e-01 1.518945556640625000e+03 3.989461401943117380e-04 5.327024459838867188e-01 1.518945556640625000e+03
1.000000000000000000e+03 1.919416785240173340e-01 5.089716315269470215e-01 1.280971765518188477e+00 1.816312670707702637e-01 5.089716315269470215e-01 1.280971765518188477e+00
2.000000000000000000e+03 1.143145784735679626e-01 2.607673406600952148e-01 7.332377433776855469e-01 9.319286793470382690e-02 2.607673406600952148e-01 7.332377433776855469e-01
3.000000000000000000e+03 9.928843379020690918e-02 5.789206922054290771e-02 3.340629041194915771e-01 7.729219645261764526e-02 5.789206922054290771e-02 3.340629041194915771e-01
4.000000000000000000e+03 2.931450121104717255e-02 6.818363666534423828e-01 3.996886312961578369e-01 2.437157556414604187e-02 6.818363666534423828e-01 3.996886312961578369e-01
5.000000000000000000e+03 1.817517913877964020e-02 7.418332155793905258e-03 5.514329671859741211e-02 1.511562429368495941e-02 7.418332155793905258e-03 5.514329671859741211e-02
6.000000000000000000e+03 1.140527706593275070e-02 1.097257621586322784e-02 3.400343656539916992e-02 9.985609911382198334e-03 1.097257621586322784e-02 3.400343656539916992e-02
7.000000000000000000e+03 7.737141102552413940e-03 7.517948746681213379e-02 5.965101346373558044e-02 6.658619735389947891e-03 7.517948746681213379e-02 5.965101346373558044e-02
8.000000000000000000e+03 5.289376247674226761e-03 3.199862083420157433e-03 1.184367574751377106e-02 4.903900437057018280e-03 3.199862083420157433e-03 1.184367574751377106e-02
9.000000000000000000e+03 3.904333338141441345e-03 1.159850507974624634e-01 6.236006692051887512e-02 3.631750354543328285e-03 1.159850507974624634e-01 6.236006692051887512e-02
1.000000000000000000e+04 3.640632145106792450e-03 6.846081465482711792e-02 4.312219843268394470e-02 3.339033341035246849e-03 6.846081465482711792e-02 4.312219843268394470e-02
1.100000000000000000e+04 2.592124976217746735e-03 2.377401478588581085e-02 1.760564930737018585e-02 2.430706750601530075e-03 2.377401478588581085e-02 1.760564930737018585e-02
1.200000000000000000e+04 2.169891959056258202e-03 3.386045247316360474e-02 1.903151348233222961e-02 2.082462422549724579e-03 3.386045247316360474e-02 1.903151348233222961e-02
1.300000000000000000e+04 1.961218658834695816e-03 8.392278105020523071e-03 7.978752255439758301e-03 1.877982635051012039e-03 8.392278105020523071e-03 7.978752255439758301e-03
1.400000000000000000e+04 1.895025256089866161e-03 1.720462366938591003e-02 1.272150501608848572e-02 1.773315714672207832e-03 1.720462366938591003e-02 1.272150501608848572e-02
1.500000000000000000e+04 1.823417376726865768e-03 3.883839584887027740e-03 5.173532757908105850e-03 1.699950313195586205e-03 3.883839584887027740e-03 5.173532757908105850e-03
1.600000000000000000e+04 2.548395423218607903e-03 6.119336932897567749e-02 6.649263948202133179e-02 2.354159019887447357e-03 6.119336932897567749e-02 6.649263948202133179e-02
1.700000000000000000e+04 1.755700213834643364e-03 4.443969577550888062e-02 2.504237368702888489e-02 1.712207798846065998e-03 4.443969577550888062e-02 2.504237368702888489e-02
1.800000000000000000e+04 1.990294316783547401e-03 6.463775038719177246e-02 4.244081676006317139e-02 1.723871217109262943e-03 6.463775038719177246e-02 4.244081676006317139e-02
1.900000000000000000e+04 2.042973646894097328e-03 6.912715733051300049e-02 5.116174742579460144e-02 1.788130961358547211e-03 6.912715733051300049e-02 5.116174742579460144e-02
2.000000000000000000e+04 2.303651534020900726e-03 9.084852039813995361e-02 6.033555418252944946e-02 1.963620074093341827e-03 9.084852039813995361e-02 6.033555418252944946e-02
2.000000000000000000e+04 2.303651534020900726e-03 9.084852039813995361e-02 6.033555418252944946e-02 1.963620074093341827e-03 9.084852039813995361e-02 6.033555418252944946e-02
2.100000000000000000e+04 3.038499271497130394e-04 3.863628953695297241e-04 2.748224884271621704e-03 2.914644719567149878e-04 3.863628953695297241e-04 2.748224884271621704e-03
2.200000000000000000e+04 1.934422616614028811e-04 2.956617390736937523e-04 2.647013170644640923e-03 1.908093254314735532e-04 2.956617390736937523e-04 2.647013170644640923e-03
2.242800000000000000e+04 1.685041061136871576e-04 2.886667498387396336e-04 2.616268116980791092e-03 1.648265606490895152e-04 2.886667498387396336e-04 2.616268116980791092e-03
