,u*du/dx1,d^2u/dx1^2,C,du/dx1,u,u*d^2u/dx1^2
eqn_0.1_0.txt,-52.648531566400024,1.0,0.07478980468191172,-54.686935637928066,-0.0,-0.0
eqn_0.1_1.txt,-52.648531566400024,1.0,0.07478980468191172,-54.686935637928066,-0.0,-0.0
eqn_0.1_2.txt,-52.64853156640006,1.0,0.07478980468191643,-54.68693563792811,-0.0,-0.0
eqn_0.1_3.txt,-52.648531566400024,1.0,0.07478980468191172,-54.686935637928066,-0.0,-0.0
eqn_0.1_4.txt,-52.64853156640006,1.0,0.07478980468191643,-54.68693563792811,-0.0,-0.0
eqn_0.2_2.txt,100.45459071282592,1.0,225.31118167106703,0.0,-232.7871366537945,-3.7506482823514045
eqn_0.3_0.txt,-45.12737816750657,1.0,0.1563657989496312,-45.87791263684191,-0.0,-0.0
eqn_0.3_1.txt,-45.12737816750651,1.0,0.15636579894962976,-45.87791263684186,-0.0,-0.0
eqn_0.3_2.txt,-45.12737816750651,1.0,0.15636579894962976,-45.87791263684186,-0.0,-0.0
eqn_0.3_3.txt,-45.12737816750657,1.0,0.1563657989496312,-45.87791263684191,-0.0,-0.0
eqn_0.4_0.txt,136.45892494677403,1.0,572.6661769081993,0.0,-579.4095313161905,-4.218949735948155
eqn_0.4_1.txt,-0.0,1.0,-199.32284552897286,-37.94900145313738,202.9504213461512,-0.0
eqn_0.4_3.txt,136.4589249467637,1.0,572.666176908154,0.0,-579.4095313161462,-4.218949735947587
eqn_0.5_0.txt,238.19041822217144,1.0,1089.5830448025113,0.0,-1100.3634686739833,-5.305424362751412
eqn_0.5_1.txt,-0.0,1.0,-240.92059579038227,-42.128728724397625,245.0093615400791,-0.0
eqn_0.5_2.txt,-0.0,1.0,-240.92059579037888,-42.12872872439711,245.0093615400757,-0.0
eqn_0.5_4.txt,-0.0,1.0,-240.92059579037888,-42.12872872439711,245.0093615400757,-0.0
