,C_x1,dx1/dx0{power: 1.0}_x1,dy1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",d^2x1/dx0^2{power: 1.0}_x1,d^2y1/dx0^2{power: 1.0}_x1,x1{power: 1.0}_x1,"dx1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x1",dx1/dx0{power: 1.0} * y1{power: 1.0}_x1,dx1/dx0{power: 1.0} * d^2y1/dx0^2{power: 1.0}_x1,d^2y1/dx0^2{power: 1.0} * y1{power: 1.0}_x1,"dy1/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x1","d^2x1/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_x1",y1{power: 1.0}_x1,C_y1,y1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,y1{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,dx1/dx0{power: 1.0}_y1,d^2x1/dx0^2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1","d^2x1/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_y1","t{power: 1.0, dim: 0.0} * cos{power: 1.0, dim: 0.0}_y1",x1{power: 1.0} * y1{power: 1.0}_y1,x1{power: 1.0}_y1,"d^2y1/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_y1"
0,-0.0005498239480929672,-1.0,0.1468230005956678,3.0065949810500755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001780526143374724,-1.0,0.5315530643164907,-0.0019434266582299426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.3140337668156943e-05,0.0,0.0,0.0,-1.0,0.25590418976283974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007118581765649522,0.0,0.0,0.0,-1.0,0.0019916109800291798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0033649493895673535,0.0,0.0,0.0,0.0,0.0,-0.007351769153770713,0.007406993443803712,-1.0,0.0,0.0,0.0,0.0,0.0,-3.375313344147702e-05,0.0,-1.0,0.0,0.0,0.0,0.26010789152585306,0.0,0.0,0.0,0.0,0.0,0.0
3,2.3010183648934567e-07,-0.00013000715539008444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.002757153793619652,0.0,0.0,0.0,0.0026085605799580553,0.0,0.0,0.0,-1.0,0.0,0.0,-2.1248858347846383e-05,0.0,0.0,0.0,0.0,0.0
4,-0.4073999373305905,0.0,0.0,0.0,0.0,0.0,0.6501025290793295,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3049105846036114e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0015735170007285285,0.0,0.0,0.0,0.0
5,-0.4073999373305905,0.0,0.0,0.0,0.0,0.0,0.6501025290793293,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006262788780311713,0.0,0.0,0.0,-1.0,0.0,0.0,4.050484781564454e-05,0.0,1.192891645733116e-07,-0.02521654358712551,0.0,0.0
6,0.0033649493895673535,0.0,0.0,0.0,0.0,0.0,-0.007351769153770713,0.007406993443803712,-1.0,0.0,0.0,0.0,0.0,0.0,0.0044624585757551604,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009018975604620076,0.0
7,0.0004658184318770772,0.0,0.0,2.0578334226880362e-05,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0004800573646284662,-1.0,0.0,0.0005074734691655643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007811473779344751
8,-0.00042961142064228965,-1.0,0.0,3.337887485264724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007686545929967087,0.0,0.0,0.002149557237820996,-1.0,0.47662367758502266,-0.002496161083188477,0.0,0.0,0.0,1.3707203215481826e-06,0.0,0.0,0.0,0.0,0.0
9,-5.670688129035977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.710121047203304e-05,-3.375313344147702e-05,0.0,-1.0,0.0,0.0,0.0,0.26010789152585306,0.0,0.0,0.0,0.0,0.0,0.0
