,y1{power: 1.0}_x1,C_x1,d^2x1/dx0^2{power: 1.0} * x1{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",dx1/dx0{power: 1.0} * x1{power: 1.0}_x1,y1{power: 1.0} * dx1/dx0{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * y1{power: 1.0}_x1",dx1/dx0{power: 1.0}_x1,x1{power: 1.0}_x1,"t{power: 1.0, dim: 0.0} * x1{power: 1.0}_x1",d^2x1/dx0^2{power: 1.0} * y1{power: 1.0}_x1,"y1{power: 1.0} * sin{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0} * cos{power: 1.0, dim: 0.0}_x1","t{power: 1.0, dim: 0.0}_y1",dy1/dx0{power: 1.0}_y1,C_y1,y1{power: 1.0} * dy1/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0} * sin{power: 1.0, dim: 0.0}_y1","y1{power: 1.0} * t{power: 1.0, dim: 0.0}_y1",y1{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * y1{power: 1.0}_y1,x1{power: 1.0} * d^2y1/dx0^2{power: 1.0}_y1,x1{power: 1.0}_y1
0,-0.00020747125090620725,5.7192452305849076e-05,-1.0,0.19823897403576496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4883704130608296e-06,0.2946554141559662,7.30553674925834e-06,-1.0,-1.078106852171106e-09,4.703779888509427e-06,0.0,0.0,0.0,0.0,0.0
1,0.0,-0.00011571698458820284,0.0,0.0,7.949235802659477e-07,-1.0,0.6754210703456627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021996243383607785,0.0,0.0,0.0,-0.007358577961484399,-1.0,0.0,0.0,0.0
2,0.0,-0.0021823249284193325,0.0,0.0,0.0,0.0,0.0,5.849556523447153e-05,-1.0,0.0,0.0,0.0,0.0,0.0,2.5813442760818994e-05,0.0,1.908762089582653e-05,0.0,0.0,-8.579682005932262e-05,0.0,-1.0,0.0,0.0,0.0
3,0.0,-0.0005977249514169421,0.0,0.0,4.901384766680943e-06,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021996243383607785,0.0,0.0,0.0,-0.007358577961484399,-1.0,0.0,0.0,0.0
4,0.0,-0.00011571698458820284,0.0,0.0,7.949235802659477e-07,-1.0,0.6754210703456627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4820048838662282e-06,0.2946529360252846,7.266700058127189e-06,-1.0,0.0,4.6837228219163484e-06,0.0,0.0,0.0,0.0,0.0
5,0.0,-0.00041923252895854836,0.0,0.0,5.149871591179513e-06,0.0,-1.0,0.0,0.2911000099049621,0.0021431878384424517,-2.7379893129437442e-05,0.0,0.0,0.0,-1.4820048838663893e-06,0.29465293602528464,7.266700058128083e-06,-1.0,0.0,4.683722821916859e-06,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0001252998700453325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007079397706820726,0.0,-1.0,0.0,0.0,0.0,0.0,0.0001218113026454411,0.0,0.0,0.0,-0.0004175267226886259,0.27979789518921716,-1.0,0.0,0.0
7,-0.00020747125090620725,5.7192452305849076e-05,-1.0,0.19823897403576496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.193705345198759e-05,0.0,0.0,0.0,-0.00027372092584557406,0.17974032584384333,0.0,-1.0,0.0
8,0.0,-0.00011571698458820284,0.0,0.0,7.949235802659477e-07,-1.0,0.6754210703456627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.193705345198759e-05,0.0,0.0,0.0,-0.00027372092584557406,0.17974032584384333,0.0,-1.0,0.0
9,0.0,1.0048174247524246e-05,0.0,0.0,-6.871723835988845e-08,0.0,-1.0,0.0,0.2848851682178107,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0001238321289454881,0.0,0.0,1.3623836287988612e-05,0.0,0.0,0.0,0.0,-0.0024597690669076137
10,0.0,4.190225502315355e-08,-1.0,0.20414056587355836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3145737323586947e-06,0.0,0.0,0.29408811872878365,-5.103436660300114e-05,-1.0,0.0,0.0,0.00016070760529598104,0.0,0.0,0.0,0.0
11,0.0,4.190225502315355e-08,-1.0,0.20414056587355836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3145737323586947e-06,0.0,0.0,0.0,8.193705345198759e-05,0.0,0.0,0.0,-0.00027372092584557406,0.17974032584384333,0.0,-1.0,0.0
12,0.0,2.39295122925606e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4799494417369004e-07,0.0,0.0,0.0021996243383607785,0.0,0.0,0.0,-0.007358577961484399,-1.0,0.0,0.0,0.0
13,0.0,-0.00027353231990954086,0.0,0.0,7.935572602482895e-06,0.0,-1.0,-1.075780957243306e-05,0.27933710695518965,0.0011754984044349917,-2.3763019525685596e-05,0.0,0.0,0.0,-1.48598717262125e-06,0.2946549815394213,7.305536749256453e-06,-1.0,-1.078030816027948e-09,4.6958882634875425e-06,0.0,0.0,0.0,0.0,0.0
